"year","month","u10","v10","mx2t","mn2t","tcc","t2","msl","t","q","u","v","z","SPI","grid_ID"
1979,1,-2.04147065828244,-0.13427940433224,308.240808105469,296.029876708984,0.219261419356796,301.878875732422,101064.095052083,297.485053507487,0.00865402521255115,-3.65106468200684,-2.77541200711081,693.744161478678,-0.786099830610403,389
1979,10,-0.541207687027993,-0.334533534223034,297.478838520665,286.342225105532,0.357115611158201,291.893819501323,101461.883316532,288.645500921434,0.0058269435014095,-2.4939293755639,-3.13770833899898,1001.82516750213,0.759474165006495,389
1979,11,-0.301454192896684,-0.218717807779709,303.54528503418,291.104191080729,0.37668630015299,297.207920328776,101254.2984375,293.98432413737,0.00635836477546642,-2.51942849953969,-2.79257695774237,865.170980072022,-0.0689703888133088,389
1979,12,0.467145728968805,-0.154532513791515,308.995560184602,295.364537392893,0.310058443589256,302.016399752709,101029.563760081,297.918049473916,0.00512509406243841,-2.00029502039955,-3.18140936618851,666.511056223223,-2.0174209876908,389
1979,2,-1.65366547767605,-0.55229671811685,305.917919703892,294.743124825614,0.472598215141001,300.2155216762,101303.549665179,295.913092476981,0.0078393804807482,-3.35830125166103,-2.89196864249451,900.365035465785,-1.22129754753471,389
1979,3,-1.14908492661292,0.285501949308861,303.06045827558,291.555335260207,0.239420963113286,297.075051584551,101245.914566532,293.44336429719,0.00736648790658481,-2.9809621476358,-1.89745782309723,850.118634623866,0.0161626677759437,389
1979,4,-0.0435353323817253,0.790931215385596,299.528542073568,288.091744995117,0.364902790340905,293.419671630859,101618.413541667,290.522782389323,0.00594263152840236,-1.85912318229675,-1.29597252657016,1181.00834757487,-0.232366154370071,389
1979,5,-0.0888601936354873,1.34193748379907,292.357680782195,282.848451675907,0.426348809949207,287.086956393334,102030.538306452,284.83838382844,0.00557911586046459,-2.03531117965617,-0.210906422441645,1507.87901453818,0.511816710230241,389
1979,6,-0.707803151011467,0.72192364235719,291.139760335286,280.804134114583,0.32514701904923,285.479259236654,102241.043229167,284.054333496094,0.0055777947185561,-2.51900381296873,-1.02532564004262,1696.24255371094,0.574838137311249,389
1979,7,0.143525072703919,0.441035524010658,289.456197431011,278.282995408581,0.247802906222205,283.344719671434,102347.694052419,281.636805380544,0.00434450560339516,-1.82605424258978,-1.30427319965055,1754.38118620842,-0.765443307020454,389
1979,8,0.913547768708198,0.193898308541506,291.425265404486,279.503492786038,0.305795032146101,285.046165220199,101894.060735887,283.011846726941,0.00404289512774877,-1.12619583464919,-1.48527052662065,1381.15349357359,-0.0680803856489396,389
